0	2
0.1	2.35274
0.2	2.72601
0.3	3.12195
0.4	3.54285
0.5	3.99116
0.6	4.46952
0.7	4.9808
0.8	5.52806
0.9	6.1146
1	6.74401
1.1	7.42013
1.2	8.14712
1.3	8.92949
1.4	9.77209
1.5	10.6802
1.6	11.6594
1.7	12.7159
1.8	13.8564
1.9	15.088
2	16.4185
2.1	17.8563
2.2	19.4105
2.3	21.0909
2.4	22.9083
2.5	24.8742
2.6	27.001
2.7	29.3024
2.8	31.7929
2.9	34.4885
3	37.4063
3.1	40.565
3.2	43.9848
3.3	47.6874
3.4	51.6965
3.5	56.0377
3.6	60.7388
3.7	65.8298
3.8	71.3434
3.9	77.3147
4	83.7819
4.1	90.7864
4.2	98.373
4.3	106.59
4.4	115.491
4.5	125.132
4.6	135.574
4.7	146.886
4.8	159.138
4.9	172.411
5	186.787
5.1	202.361
5.2	219.23
5.3	237.504
5.4	257.299
5.5	278.742
5.6	301.971
5.7	327.133
5.8	354.391
5.9	383.918
6	415.904
6.1	450.553
6.2	488.088
6.3	528.749
6.4	572.795
6.5	620.51
6.6	672.199
6.7	728.191
6.8	788.848
6.9	854.555
7	925.735
