0	2
0.1	2.34264
0.2	2.70523
0.3	3.08985
0.4	3.49874
0.5	3.93429
0.6	4.39908
0.7	4.89589
0.8	5.42772
0.9	5.9978
1	6.6096
1.1	7.26687
1.2	7.97368
1.3	8.73441
1.4	9.55378
1.5	10.4369
1.6	11.3893
1.7	12.417
1.8	13.5264
1.9	14.7246
2	16.019
2.1	17.418
2.2	18.9303
2.3	20.5655
2.4	22.3341
2.5	24.2473
2.6	26.3172
2.7	28.5571
2.8	30.9811
2.9	33.6049
3	36.445
3.1	39.5197
3.2	42.8485
3.3	46.4528
3.4	50.3555
3.5	54.5816
3.6	59.1582
3.7	64.1144
3.8	69.4819
3.9	75.2952
4	81.5914
4.1	88.4107
4.2	95.7968
4.3	103.797
4.4	112.462
4.5	121.849
4.6	132.016
4.7	143.028
4.8	154.958
4.9	167.88
5	181.877
5.1	197.039
5.2	213.464
5.3	231.256
5.4	250.529
5.5	271.407
5.6	294.023
5.7	318.521
5.8	345.06
5.9	373.809
6	404.952
6.1	438.688
6.2	475.233
6.3	514.822
6.4	557.707
6.5	604.164
6.6	654.49
6.7	709.007
6.8	768.065
6.9	832.041
7	901.344
