0	2
0.1	2.34303
0.2	2.70602
0.3	3.09107
0.4	3.5004
0.5	3.93641
0.6	4.4017
0.7	4.89904
0.8	5.43143
0.9	6.0021
1	6.61453
1.1	7.27248
1.2	7.98001
1.3	8.74151
1.4	9.56171
1.5	10.4457
1.6	11.3991
1.7	12.4278
1.8	13.5383
1.9	14.7377
2	16.0334
2.1	17.4337
2.2	18.9475
2.3	20.5843
2.4	22.3546
2.5	24.2697
2.6	26.3416
2.7	28.5836
2.8	31.01
2.9	33.6363
3	36.4792
3.1	39.5568
3.2	42.8889
3.3	46.4966
3.4	50.4031
3.5	54.6333
3.6	59.2142
3.7	64.1752
3.8	69.5479
3.9	75.3668
4	81.669
4.1	88.4949
4.2	95.8881
4.3	103.896
4.4	112.57
4.5	121.965
4.6	132.142
4.7	143.165
4.8	155.106
4.9	168.04
5	182.051
5.1	197.228
5.2	213.668
5.3	231.477
5.4	250.768
5.5	271.666
5.6	294.304
5.7	318.826
5.8	345.39
5.9	374.167
6	405.339
6.1	439.107
6.2	475.688
6.3	515.314
6.4	558.241
6.5	604.742
6.6	655.116
6.7	709.686
6.8	768.8
6.9	832.837
7	902.207
