NUM ITERATIONS:	4381
FINAL VALUES:	3.8994e-05	0	0	
writing to: output_1.txt

V1(t) and V2(t) have finished calculating and is located in output_1.txt

Begin parameter extraction for a2/a1, tau1, tau2
3.02786e+173 -1.99819e-05 5e-08
3.01577e+173 -1.99817e-05 5e-08
3.00373e+173 -1.99815e-05 5e-08
2.99174e+173 -1.99813e-05 5e-08
2.9798e+173 -1.99811e-05 5e-08
2.9679e+173 -1.99809e-05 5e-08
2.95606e+173 -1.99807e-05 5e-08
2.94426e+173 -1.99805e-05 5e-08
2.9325e+173 -1.99803e-05 5e-08
2.9208e+173 -1.99801e-05 5e-08
2.90914e+173 -1.99799e-05 5e-08
2.89752e+173 -1.99797e-05 5e-08
2.88596e+173 -1.99795e-05 5e-08
2.87444e+173 -1.99793e-05 5e-08
2.86296e+173 -1.99791e-05 5e-08
2.85153e+173 -1.99789e-05 5e-08
2.84015e+173 -1.99787e-05 5e-08
2.82881e+173 -1.99785e-05 5e-08
2.80627e+173 -1.99781e-05 5e-08
2.78391e+173 -1.99777e-05 5e-08
2.76173e+173 -1.99773e-05 5e-08
2.73972e+173 -1.99769e-05 5e-08
2.71789e+173 -1.99765e-05 5e-08
2.69623e+173 -1.99761e-05 5e-08
2.67475e+173 -1.99757e-05 5e-08
2.65344e+173 -1.99753e-05 5e-08
2.6323e+173 -1.99749e-05 5e-08
2.61132e+173 -1.99745e-05 5e-08
2.59051e+173 -1.99741e-05 5e-08
2.56987e+173 -1.99737e-05 5e-08
2.5494e+173 -1.99733e-05 5e-08
2.52908e+173 -1.99729e-05 5e-08
2.50893e+173 -1.99725e-05 5e-08
2.48894e+173 -1.99721e-05 5e-08
2.46911e+173 -1.99717e-05 5e-08
2.44943e+173 -1.99713e-05 5e-08
2.42991e+173 -1.99709e-05 5e-08
2.41055e+173 -1.99705e-05 5e-08
2.39135e+173 -1.99701e-05 5e-08
2.37229e+173 -1.99697e-05 5e-08
2.35339e+173 -1.99693e-05 5e-08
2.33464e+173 -1.99689e-05 5e-08
2.31603e+173 -1.99685e-05 5e-08
2.29758e+173 -1.99681e-05 5e-08
2.27927e+173 -1.99677e-05 5e-08
2.26111e+173 -1.99673e-05 5e-08
2.24309e+173 -1.99669e-05 5e-08
2.22522e+173 -1.99665e-05 5e-08
2.20749e+173 -1.99661e-05 5e-08
2.1899e+173 -1.99657e-05 5e-08
2.17245e+173 -1.99653e-05 5e-08
2.15514e+173 -1.99649e-05 5e-08
2.13797e+173 -1.99645e-05 5e-08
2.12093e+173 -1.99641e-05 5e-08
2.10403e+173 -1.99637e-05 5e-08
2.08727e+173 -1.99633e-05 5e-08
2.07064e+173 -1.99629e-05 5e-08
2.05414e+173 -1.99625e-05 5e-08
2.03777e+173 -1.99621e-05 5e-08
2.02153e+173 -1.99617e-05 5e-08
2.00543e+173 -1.99613e-05 5e-08
1.98945e+173 -1.99609e-05 5e-08
1.97359e+173 -1.99605e-05 5e-08
1.95787e+173 -1.99601e-05 5e-08
1.94227e+173 -1.99597e-05 5e-08
1.92679e+173 -1.99593e-05 5e-08
1.91144e+173 -1.99589e-05 5e-08
1.89621e+173 -1.99585e-05 5e-08
1.86611e+173 -1.99577e-05 5e-08
1.83649e+173 -1.99569e-05 5e-08
1.80734e+173 -1.99561e-05 5e-08
1.77865e+173 -1.99553e-05 5e-08
1.75042e+173 -1.99545e-05 5e-08
1.72264e+173 -1.99537e-05 5e-08
1.69529e+173 -1.99529e-05 5e-08
1.66839e+173 -1.99521e-05 5e-08
1.6419e+173 -1.99513e-05 5e-08
1.61584e+173 -1.99505e-05 5e-08
1.59019e+173 -1.99497e-05 5e-08
1.56495e+173 -1.99489e-05 5e-08
1.54011e+173 -1.99481e-05 5e-08
